YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,day
2019,4,14,7,2019-04-14,JFK,FLL,398.0,384.0,0,,0,164.0,1069,348.0,0.0,0.0,0.0,36.0,Sunday
2019,4,15,1,2019-04-15,FLL,JFK,412.0,460.0,0,,0,200.0,1069,0.0,0.0,460.0,0.0,0.0,Monday
2019,4,15,1,2019-04-15,BOS,JFK,391.0,364.0,0,,0,48.0,187,0.0,0.0,186.0,0.0,178.0,Monday
2019,4,15,1,2019-04-15,MCO,JFK,461.0,488.0,0,,0,141.0,944,0.0,0.0,113.0,0.0,375.0,Monday
2019,4,15,1,2019-04-15,SYR,JFK,523.0,514.0,0,,0,60.0,209,0.0,0.0,495.0,0.0,19.0,Monday
2019,4,16,2,2019-04-16,MCO,BOS,367.0,363.0,0,,0,146.0,1121,29.0,0.0,0.0,0.0,334.0,Tuesday
2019,4,16,2,2019-04-16,TPA,BOS,430.0,406.0,0,,0,148.0,1185,3.0,0.0,0.0,0.0,403.0,Tuesday
2019,4,16,2,2019-04-16,BQN,MCO,464.0,471.0,0,,0,154.0,1129,415.0,0.0,7.0,0.0,49.0,Tuesday
2019,4,16,2,2019-04-16,HPN,PBI,383.0,358.0,0,,0,134.0,1056,2.0,0.0,0.0,0.0,356.0,Tuesday
2019,4,16,2,2019-04-16,PBI,HPN,400.0,386.0,0,,0,143.0,1056,381.0,0.0,0.0,0.0,5.0,Tuesday
2019,4,16,2,2019-04-16,MCO,SJU,467.0,452.0,0,,0,136.0,1189,452.0,0.0,0.0,0.0,0.0,Tuesday
2019,4,16,2,2019-04-16,SJU,TPA,446.0,441.0,0,,0,169.0,1237,16.0,0.0,0.0,0.0,425.0,Tuesday
2019,4,17,3,2019-04-17,MCO,BOS,491.0,487.0,0,,0,157.0,1121,466.0,0.0,0.0,0.0,21.0,Wednesday
2019,4,26,5,2019-04-26,LGA,DSM,651.0,640.0,0,,0,155.0,1031,0.0,415.0,0.0,0.0,225.0,Friday
2019,4,26,5,2019-04-26,RDU,CLE,975.0,968.0,0,,0,68.0,416,0.0,0.0,548.0,0.0,420.0,Friday
2019,4,28,7,2019-04-28,RSW,IAH,1100.0,1100.0,0,,0,132.0,861,1100.0,0.0,0.0,0.0,0.0,Sunday
2019,4,29,1,2019-04-29,ATL,IAH,374.0,355.0,0,,0,106.0,689,355.0,0.0,0.0,0.0,0.0,Monday
2019,4,13,6,2019-04-13,IAH,MCI,770.0,762.0,0,,0,90.0,643,0.0,0.0,0.0,0.0,762.0,Saturday
2019,4,19,5,2019-04-19,RSW,IAH,1140.0,1139.0,0,,0,132.0,861,0.0,1139.0,0.0,0.0,0.0,Friday
2019,4,12,5,2019-04-12,BTV,IAD,1204.0,1194.0,0,,0,76.0,441,0.0,1194.0,0.0,0.0,0.0,Friday
2019,4,20,6,2019-04-20,MHT,IAD,440.0,439.0,0,,0,78.0,418,0.0,0.0,0.0,0.0,439.0,Saturday
2019,4,8,1,2019-04-08,DAY,IAH,598.0,582.0,0,,0,133.0,929,0.0,0.0,0.0,0.0,582.0,Monday
2019,4,10,3,2019-04-10,DTW,IAD,442.0,439.0,0,,0,57.0,383,439.0,0.0,0.0,0.0,0.0,Wednesday
2019,4,11,4,2019-04-11,CHS,IAD,509.0,499.0,0,,0,62.0,441,499.0,0.0,0.0,0.0,0.0,Thursday
2019,4,8,1,2019-04-08,ORF,IAH,426.0,412.0,0,,0,177.0,1201,0.0,0.0,0.0,0.0,412.0,Monday
2019,4,7,7,2019-04-07,PIT,IAD,469.0,462.0,0,,0,35.0,182,0.0,0.0,0.0,0.0,462.0,Sunday
2019,4,8,1,2019-04-08,IAH,SAV,817.0,803.0,0,,0,113.0,851,803.0,0.0,0.0,0.0,0.0,Monday
2019,4,8,1,2019-04-08,CMH,IAD,451.0,427.0,0,,0,45.0,299,427.0,0.0,0.0,0.0,0.0,Monday
2019,4,19,5,2019-04-19,IAD,HHH,868.0,883.0,0,,0,103.0,498,0.0,883.0,0.0,0.0,0.0,Friday
2019,4,7,7,2019-04-07,IAD,HHH,1041.0,1029.0,0,,0,83.0,498,0.0,1029.0,0.0,0.0,0.0,Sunday
2019,4,7,7,2019-04-07,BNA,IAD,385.0,375.0,0,,0,75.0,542,0.0,0.0,0.0,0.0,375.0,Sunday
2019,4,9,2,2019-04-09,SAV,IAH,379.0,355.0,0,,0,126.0,851,0.0,0.0,0.0,0.0,355.0,Tuesday
2019,4,9,2,2019-04-09,CLT,IAH,506.0,487.0,0,,0,135.0,912,0.0,0.0,0.0,0.0,487.0,Tuesday
2019,4,21,7,2019-04-21,IAH,ELP,666.0,660.0,0,,0,95.0,667,660.0,0.0,0.0,0.0,0.0,Sunday
2019,4,17,3,2019-04-17,PSP,IAH,507.0,504.0,0,,0,162.0,1269,504.0,0.0,0.0,0.0,0.0,Wednesday
2019,4,16,2,2019-04-16,CVG,IAH,458.0,445.0,0,,0,134.0,871,0.0,0.0,0.0,0.0,445.0,Tuesday
2019,4,16,2,2019-04-16,IAD,CVG,502.0,492.0,0,,0,67.0,388,492.0,0.0,0.0,0.0,0.0,Tuesday
